id,date,product,review_text
1,2024-03-01,Widget Pro,"Absolutely love this product. Best purchase I've made all year."
2,2024-03-02,Widget Pro,"Broke after two days. Complete waste of money."
3,2024-03-03,Widget Lite,"It's fine. Does what it says, nothing more."
4,2024-03-04,Widget Pro,"Customer support was unhelpful and rude when I asked for a refund."
5,2024-03-05,Widget Lite,"Exceeded my expectations! Will buy again."
6,2024-03-07,Widget Pro,"Shipping took forever but the product itself is decent."
7,2024-03-08,Widget Lite,"Don't bother. Cheaply made and falls apart."
8,2024-03-09,Widget Pro,"My kids love it. Great gift idea."
9,2024-03-10,Widget Lite,"Returned it the same day. Terrible quality."
10,2024-03-11,Widget Pro,"Works as advertised. No complaints."
11,2024-03-12,Widget Lite,"The instructions were confusing but once I figured it out it was great."
12,2024-03-14,Widget Pro,"Meh. I expected more for the price."
13,2024-03-15,Widget Lite,"Five stars. Seriously impressive for a budget option."
14,2024-03-16,Widget Pro,"Arrived damaged. Very disappointing."
15,2024-03-17,Widget Lite,"Solid build quality. Recommend to anyone on a budget."
16,2024-03-18,Widget Pro,"Not bad but not great either. Average product."
17,2024-03-20,Widget Lite,"This replaced my old one and it's ten times better."
18,2024-03-21,Widget Pro,"Waste of money. Stopped working after a week."
19,2024-03-22,Widget Lite,"Bought three more for friends. That's how good it is."
20,2024-03-23,Widget Pro,"Perfectly adequate. Gets the job done."
