"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2026","6,832.75","6,957.54","6,973.22","6,824.04","","-1.57%"
"02/11/2026","6,941.47","6,976.48","6,993.48","6,911.97","","0.00%"
"02/10/2026","6,941.81","6,974.49","6,986.83","6,937.53","","-0.33%"
"02/09/2026","6,964.82","6,917.26","6,980.10","6,905.87","","0.47%"
"02/06/2026","6,932.30","6,816.74","6,944.89","6,816.74","","1.97%"
"02/05/2026","6,798.40","6,837.39","6,857.85","6,780.13","","-1.23%"
"02/04/2026","6,882.72","6,924.50","6,936.09","6,838.80","","-0.51%"
"02/03/2026","6,917.81","6,985.45","6,993.08","6,862.05","","-0.84%"
"02/02/2026","6,976.44","6,916.64","6,991.92","6,914.34","","0.54%"
"01/30/2026","6,939.03","6,947.27","6,964.09","6,893.48","","-0.43%"
"01/29/2026","6,969.01","6,977.74","6,992.84","6,870.80","","-0.13%"
"01/28/2026","6,978.03","7,002.00","7,002.28","6,963.46","","-0.01%"
"01/27/2026","6,978.60","6,965.96","6,988.82","6,958.83","","0.41%"
"01/26/2026","6,950.23","6,923.23","6,964.66","6,921.60","","0.50%"
"01/23/2026","6,915.61","6,907.85","6,932.96","6,895.50","","0.03%"
"01/22/2026","6,913.35","6,914.44","6,934.75","6,893.62","","0.55%"
"01/21/2026","6,875.62","6,810.71","6,910.39","6,804.96","","1.16%"
"01/20/2026","6,796.86","6,865.24","6,871.17","6,789.05","","-2.06%"
"01/16/2026","6,940.01","6,960.54","6,967.30","6,925.09","","-0.06%"
"01/15/2026","6,944.47","6,969.46","6,979.34","6,937.93","","0.26%"
"01/14/2026","6,926.60","6,937.41","6,941.30","6,885.74","","-0.53%"
"01/13/2026","6,963.74","6,977.41","6,985.83","6,938.77","","-0.19%"
